source_url	title	author	book_journal	pub_date	pub_place	publisher	enumcron	pages_orig	pages_digital	new digital range	page_count	added	updated	item_type	source_id		side notes (poetry, couldn't find article, item unavailable, original pages differentiate)
https://hdl.handle.net/2027/hvd.32044014683114	On the Use of Trisyllabic Feet in Iambic Verse	Bryant, William Cullen.	The North American review.	1819	Boston	O. Everett	v.9 (1819)	426-31	436-441	correct	6	2018-01-23 14:43:55	2023-04-25 14:28:17	Article	hvd.32044014683114		
https://hdl.handle.net/2027/hvd.32044058190059	On Tonality in English Verse	Jacob, Cary F.	The Sewanee review.	1909	Sewanee, Tenn. [etc.]	University of the South [etc.]	v.17 (1909)	448-57	478-487	488-497	10	2018-01-23 14:43:11	2023-04-25 14:18:42	Article	hvd.32044058190059		
https://hdl.handle.net/2027/umn.31951002804000l	On Translating Homer	Garnett, Richard.	The Universal review.	1889	London	S. Sonneschein & Co.	v.5 (1889)	226-239	248-261	correct	14	2018-01-23 15:15:25	2023-03-02 13:49:59	Article	umn.31951002804000l		
https://hdl.handle.net/2027/uc1.$b661479	On Translating Homer. Universal Review	Garnett, Richard.	Essays of an ex-librarian, 	1901	New York 	Dodd, Mead & co.; [etc., etc.]		3-27	19-43	correct	25	2018-01-23 15:12:04	2023-03-02 13:49:59	Excerpt	uc1.$b661479		
https://hdl.handle.net/2027/hvd.32044092645134	On Versification	R, D. L.	The Inspector, literary magazine and review	1826	London	Effingham Wilson	v.2 (1826)	19-22	29-32	correct	4	2018-01-23 14:42:33	2021-08-05 09:51:30	Article	hvd.32044092645134		
https://hdl.handle.net/2027/mdp.39015060429357	The Order of Rimes of the English Sonnet	Weeks, L. T.	Modern language notes.	1910	Baltimore	Johns Hopkins Press [etc.]	v.25 1910	176-80	212-216	210-214	5	2018-01-23 14:47:54	2021-08-05 09:51:40	Article	mdp.39015060429357		
https://hdl.handle.net/2027/mdp.39015074687149	The Origin of Alliteration as a Device of Poetic Technique in Germanic Verse	University of Chicago	University of Chicago Abstracts of Theses, Humanistic Series 4	1925	Chicago	University of Chicago Press	v.4 1925-1926	305-310	323-328	correct	6	2022-01-25 14:42:38	2022-01-25 14:44:04	Excerpt	mdp.39015074687149		
https://hdl.handle.net/2027/mdp.39015035805772	The Origin of Rhyme	Sedgwick, W. B.	Revue bénédictine.	1924	[Maredsous, Belgique]	Abbaye de Maredsous	v.36	330-46	350-366	348-364	17	2021-01-14 15:54:25	2021-08-05 09:52:15	Article	mdp.39015035805772		
https://hdl.handle.net/2027/pst.000068744458	Origin of the Closed Couplet in English	Tatlock, J. S.	The nation.	1914	New York, N.Y.	J.H. Richards	v.98 1914	390	402	correct	1	2018-01-23 15:09:24	2021-08-05 09:52:07	Article	pst.000068744458		
https://hdl.handle.net/2027/mdp.39015016898432	Parallelism: The Basis of Biblical Verse	Moulton, Richard G	The modern reader's Bible: the books of the Bible with three books of the Apocrypha, presented in modern literary form;	1895	New York.	The Macmillan company		1518-1519	1540-1541	1542-1543	2	2018-01-23 14:52:31	2021-08-05 09:54:18	Excerpt	mdp.39015016898432		
https://hdl.handle.net/2027/uc1.b3924130	A Partial Attempt to Reconcile the Laws of Latin Rhythm with Those of Modern Languages	Key, T. Hewitt	Transactions of the Philological Society	1869	Oxford [etc.]	Society by B. Blackwell	1868/69	311-51	321-361	correct	41	2018-01-23 15:09:51	2021-08-05 09:52:08	Article	uc1.b3924130		
